transaction_id,customer_id,amount,payment_method,failure_reason,retry_count,customer_quality_score,true_recovery_probability,recovered,created_at
1,861,6026.72,wallet,authentication_failure,2,0.506,0.392,0,2026-06-02 13:02:33
2,4427,3403.72,wallet,authentication_failure,3,0.907,0.473,0,2026-08-06 13:02:33
3,770,2202.16,upi,network_timeout,3,0.979,0.652,0,2026-07-26 13:02:33
4,4556,169.96,upi,insufficient_balance,0,0.459,0.434,1,2026-06-30 13:02:33
5,2559,2992.23,wallet,insufficient_balance,3,0.85,0.35,1,2026-06-27 13:02:33
6,2735,3886.37,netbanking,repeated_failure,3,0.673,0.02,0,2026-08-25 13:02:33
7,3557,1788.19,netbanking,authentication_failure,2,0.563,0.415,1,2026-05-31 13:02:33
8,2364,3915.62,upi,repeated_failure,1,0.725,0.16,1,2026-06-05 13:02:33
9,1479,8348.63,card,network_timeout,2,0.626,0.59,0,2026-07-23 13:02:33
10,1586,4309.04,upi,network_timeout,1,0.936,0.794,1,2026-07-05 13:02:33
11,1501,4552.57,upi,insufficient_balance,1,0.912,0.535,0,2026-08-14 13:02:33
12,4912,5256.26,netbanking,repeated_failure,1,0.631,0.122,0,2026-06-09 13:02:33
13,338,3631.86,wallet,customer_abandonment,3,0.527,0.02,0,2026-07-18 13:02:33
14,2063,254.8,card,customer_abandonment,0,0.913,0.365,0,2026-08-20 13:02:33
15,1496,7097.89,netbanking,authentication_failure,2,0.639,0.446,0,2026-08-23 13:02:33
16,3562,9158.1,card,insufficient_balance,0,0.55,0.47,0,2026-07-25 13:02:33
17,3105,6692.63,wallet,repeated_failure,3,0.805,0.032,0,2026-07-24 13:02:33
18,2691,5656.64,card,temporary_bank_failure,2,0.96,0.774,1,2026-08-01 13:02:33
19,4489,4449.43,upi,insufficient_balance,2,0.811,0.414,1,2026-07-07 13:02:33
20,4192,1479.38,upi,network_timeout,2,0.259,0.444,1,2026-07-16 13:02:33
21,4637,862.1,card,network_timeout,2,0.919,0.708,1,2026-07-31 13:02:33
22,2626,3026.77,card,insufficient_balance,0,0.664,0.516,0,2026-07-31 13:02:33
23,3628,8844.47,upi,network_timeout,3,0.41,0.424,0,2026-05-31 13:02:33
24,3303,2794.11,card,repeated_failure,2,0.764,0.096,0,2026-06-12 13:02:33
25,1283,5387.49,wallet,repeated_failure,1,0.752,0.171,0,2026-07-08 13:02:33
26,4780,2265.77,upi,authentication_failure,3,0.41,0.274,0,2026-06-27 13:02:33
